relative_path,extension,status,extractor,chars,words,notes
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/9.Dec-25.XLS,.xls,ok,xlrd,716,102,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/Bank statement PDF/1.Apr-25.PDF,.pdf,ok,pymupdf,2228,405,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/Bank statement PDF/10.Jan-26.PDF,.pdf,ok,pymupdf,1814,300,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/Bank statement PDF/11.Feb-26.PDF,.pdf,ok,pymupdf,561,93,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/Bank statement PDF/12.Mar-26.PDF,.pdf,ok,pymupdf,1391,226,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/Bank statement PDF/2.May-25.PDF,.pdf,ok,pymupdf,2033,363,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/Bank statement PDF/3.Jun-25.PDF,.pdf,ok,pymupdf,2327,425,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/Bank statement PDF/4.Jul-25.PDF,.pdf,ok,pymupdf,1676,287,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/Bank statement PDF/5.Aug-25.PDF,.pdf,ok,pymupdf,1554,262,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/Bank statement PDF/6.Sep-25.PDF,.pdf,ok,pymupdf,2175,388,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/Bank statement PDF/7.Oct-25.PDF,.pdf,ok,pymupdf,1670,285,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/Bank statement PDF/8.Nov-25.PDF,.pdf,ok,pymupdf,1791,301,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/Bank statement PDF/9.Dec-25.PDF,.pdf,ok,pymupdf,1236,197,
Client Inputs/1. Valyx FDD Input/Assets/DD8.0 Fixed Assets/FA Policy-23.pdf,.pdf,ok,pymupdf,5099,787,
Client Inputs/1. Valyx FDD Input/Assets/DD8.0 Fixed Assets/FA Policy-24.pdf,.pdf,ok,pymupdf,5144,800,
Client Inputs/1. Valyx FDD Input/Assets/DD8.0 Fixed Assets/FA Policy-25.pdf,.pdf,ok,pymupdf,5128,793,
Client Inputs/1. Valyx FDD Input/Assets/DD8.0 Fixed Assets/Fixed asset register for DD period.xlsx,.xlsx,ok,openpyxl,12484,2421,
Client Inputs/1. Valyx FDD Input/Assets/DD8.0 Fixed Assets/Invoices/1.Mar-24/Retail - Utkarsh Singh.pdf,.pdf,ok,pymupdf,1987,345,
Client Inputs/1. Valyx FDD Input/Assets/DD8.0 Fixed Assets/Invoices/2.Apr-24/Invoice_1650953329 - Anirudh Bhargava.pdf,.pdf,ok,pymupdf,4743,842,
Client Inputs/1. Valyx FDD Input/Assets/DD8.0 Fixed Assets/Invoices/3.Aug-24/JioMart-Invoice-1727423902041 - Avishek Ray.pdf,.pdf,ok,pymupdf,2854,457,
Client Inputs/1. Valyx FDD Input/Assets/DD8.0 Fixed Assets/Invoices/4.Sep-24/invoice - Anirudh Bhargava.pdf,.pdf,ok,pymupdf,2081,357,
Client Inputs/1. Valyx FDD Input/Assets/DD8.0 Fixed Assets/Invoices/5.Mar-25/invoice - Anirudh Bhargava.pdf,.pdf,ok,pymupdf,2100,341,
Client Inputs/1. Valyx FDD Input/Assets/DD8.0 Fixed Assets/Invoices/6.Jul-25/invoice - Anirudh Bhargava.pdf,.pdf,ok,pymupdf,4419,706,
Client Inputs/1. Valyx FDD Input/Assets/DD8.0 Fixed Assets/Invoices/7.Mar-26/Laptop_invoice - Avishek Ray.pdf,.pdf,ok,pymupdf,4173,697,
Client Inputs/1. Valyx FDD Input/Assets/Fixed Deposits/50301252973265.txt,.txt,ok,text,6131,264,
Client Inputs/1. Valyx FDD Input/Assets/Fixed Deposits/50301252974012.txt,.txt,ok,text,6131,264,
Client Inputs/1. Valyx FDD Input/Assets/Fixed Deposits/FD Interest Certificate.pdf,.pdf,ok,pymupdf,58,6,
Client Inputs/1. Valyx FDD Input/Assets/Trade Receivables/DD8.7 Aging of AR/AR Aging Details By Invoice Due Date.pdf,.pdf,ok,pymupdf,3472,710,
Client Inputs/1. Valyx FDD Input/Assets/Trade Receivables/DD8.7 Aging of AR/Aging of Accounts Receivables - 28.2.2026 - Actuals.pdf,.pdf,ok,pymupdf,2007,134,
Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 GST Payable till Feb-26.xlsx,.xlsx,ok,openpyxl,24298,3142,
"Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/1. Oct-23/92B - 42,148.pdf",.pdf,ok,pymupdf,1134,188,
"Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/2. Dec-23/92B - 42,148.pdf",.pdf,ok,pymupdf,1134,188,
"Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/2. Dec-23/94J - 50,077.pdf",.pdf,ok,pymupdf,1088,179,
Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/3. Mar-24/92B-22357.pdf,.pdf,ok,pymupdf,1140,188,
Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/3. Mar-24/94J-12596 FY-2023-24.pdf,.pdf,ok,pymupdf,1132,187,
Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/3. Mar-24/94J-1760.pdf,.pdf,ok,pymupdf,1093,181,
"Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/4. Jan-24/92A - 21,074.pdf",.pdf,ok,pymupdf,1114,184,
"Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/4. Jan-24/94J - 16,708.pdf",.pdf,ok,pymupdf,1104,181,
"Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/5. Feb-24/92B - 21,074.pdf",.pdf,ok,pymupdf,1114,184,
"Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/5. Feb-24/94J - 17,120.pdf",.pdf,ok,pymupdf,1106,181,
Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/TDS on Salary FY 2023-24.xls,.xls,ok,openpyxl-mislabeled-xls,1036,191,
Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/TDS on prof FY 2023-24.xls,.xls,ok,openpyxl-mislabeled-xls,1348,253,
Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2024-25/TDS payable for FY 2024-25.xlsx,.xlsx,ok,openpyxl,9144,1110,
Client Inputs/1. Valyx FDD Input/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2025-26/TDS Payable till Feb-26.xlsx,.xlsx,ok,openpyxl,9217,1111,
Client Inputs/1. Valyx FDD Input/BS - Liabilities/Trade Payable List along with MSME vendors.xlsx,.xlsx,ok,openpyxl,4878,984,
Client Inputs/1. Valyx FDD Input/BS - Reserves/DD6.0 Shareholer wise calculation of Premium.xlsx,.xlsx,ok,openpyxl,2108,489,
